unit,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
69,227,-0.0021,0.0005,100.0,518.67,642.27,1585.04,1408.38,14.62,21.61,553.06,2388.07,9062.23,1.3,47.57,521.34,2388.12,8141.09,8.4225,0.03,392,2388,100.0,39.05,23.2655
8,148,-0.0003,-0.0,100.0,518.67,643.43,1605.59,1421.3,14.62,21.61,551.73,2388.31,9038.57,1.3,48.13,519.87,2388.29,8126.2,8.4914,0.03,395,2388,100.0,38.59,23.0631
48,14,-0.0,-0.0002,100.0,518.67,642.28,1587.36,1394.82,14.62,21.6,554.22,2388.02,9069.23,1.3,47.01,522.16,2388.03,8143.53,8.4054,0.03,390,2388,100.0,38.96,23.3859
54,257,-0.0009,-0.0003,100.0,518.67,643.8,1601.79,1433.26,14.62,21.61,551.37,2388.16,9155.85,1.3,48.15,519.57,2388.15,8220.23,8.5295,0.03,395,2388,100.0,38.3,23.05
96,158,-0.0004,0.0001,100.0,518.67,642.59,1596.77,1402.3,14.62,21.61,554.1,2388.12,9059.46,1.3,47.32,521.6,2388.13,8141.96,8.4082,0.03,392,2388,100.0,38.84,23.3237
78,161,-0.004,-0.0002,100.0,518.67,642.27,1589.57,1407.09,14.62,21.61,553.56,2388.03,9072.0,1.3,47.46,522.16,2388.04,8142.97,8.4043,0.03,393,2388,100.0,38.85,23.2474
27,69,0.0033,0.0003,100.0,518.67,642.77,1578.13,1407.13,14.62,21.61,553.32,2388.08,9066.37,1.3,47.54,522.12,2388.05,8149.25,8.427,0.03,394,2388,100.0,38.78,23.364
40,101,-0.0021,0.0004,100.0,518.67,642.92,1589.92,1420.24,14.62,21.61,553.04,2388.08,9062.74,1.3,47.7,521.24,2388.15,8139.36,8.4421,0.03,393,2388,100.0,38.8,23.1153
27,83,0.0013,0.0001,100.0,518.67,642.24,1591.16,1399.22,14.62,21.61,553.41,2388.07,9072.18,1.3,47.53,520.86,2388.1,8153.05,8.4279,0.03,394,2388,100.0,38.92,23.3416
90,77,0.0014,-0.0002,100.0,518.67,642.68,1580.45,1399.25,14.62,21.61,553.5,2388.11,9043.13,1.3,47.35,521.51,2388.08,8133.08,8.4376,0.03,392,2388,100.0,38.87,23.4124
24,51,0.0012,-0.0002,100.0,518.67,642.24,1587.1,1404.95,14.62,21.61,553.75,2388.1,9061.01,1.3,47.47,522.56,2387.97,8145.11,8.4279,0.03,393,2388,100.0,39.01,23.3056
8,44,0.001,-0.0,100.0,518.67,642.83,1594.48,1412.23,14.62,21.61,553.81,2388.13,9043.58,1.3,47.47,521.38,2388.17,8123.59,8.4808,0.03,393,2388,100.0,38.81,23.2559
52,173,0.003,0.0003,100.0,518.67,643.04,1599.44,1421.29,14.62,21.61,551.73,2388.14,9074.19,1.3,47.68,520.74,2388.15,8153.55,8.476,0.03,396,2388,100.0,38.64,23.197
29,2,0.0011,0.0004,100.0,518.67,642.27,1592.43,1408.53,14.62,21.61,553.71,2388.03,9060.3,1.3,47.27,521.77,2388.05,8140.58,8.4272,0.03,392,2388,100.0,38.84,23.335
85,35,-0.0031,0.0004,100.0,518.67,642.67,1588.03,1404.63,14.62,21.61,553.58,2388.07,9051.62,1.3,47.53,521.83,2388.12,8124.33,8.4248,0.03,391,2388,100.0,38.88,23.2829
5,125,-0.0017,0.0001,100.0,518.67,641.73,1578.0,1406.98,14.62,21.61,554.33,2388.01,9074.98,1.3,47.3,522.24,2388.0,8149.66,8.3917,0.03,391,2388,100.0,38.97,23.355
46,22,-0.0024,0.0002,100.0,518.67,642.2,1589.03,1396.03,14.62,21.6,554.97,2388.02,9057.12,1.3,47.12,522.42,2388.02,8134.46,8.4078,0.03,393,2388,100.0,38.96,23.4641
82,98,0.0038,-0.0002,100.0,518.67,642.61,1587.49,1394.63,14.62,21.61,554.39,2387.95,9070.63,1.3,47.33,522.22,2388.06,8145.74,8.4094,0.03,393,2388,100.0,38.96,23.439
56,111,0.0004,0.0002,100.0,518.67,642.62,1587.73,1411.4,14.62,21.61,552.43,2388.07,9049.92,1.3,47.57,521.2,2388.15,8133.93,8.4491,0.03,393,2388,100.0,38.69,23.3592
88,96,-0.0024,-0.0004,100.0,518.67,642.18,1592.04,1405.2,14.62,21.61,554.36,2388.04,9073.22,1.3,47.54,521.59,2388.01,8150.08,8.4326,0.03,393,2388,100.0,38.9,23.3556
83,98,0.0006,-0.0004,100.0,518.67,642.38,1587.34,1396.74,14.62,21.61,554.19,2387.97,9050.81,1.3,47.27,522.42,2388.01,8138.53,8.3954,0.03,391,2388,100.0,38.92,23.4531
20,136,-0.0015,-0.0005,100.0,518.67,642.65,1597.03,1410.97,14.62,21.61,552.89,2388.11,9065.56,1.3,47.59,521.31,2388.14,8137.22,8.4641,0.03,395,2388,100.0,38.93,23.3832
26,8,-0.0001,-0.0001,100.0,518.67,642.94,1586.14,1412.11,14.62,21.61,552.92,2388.15,9045.97,1.3,47.63,521.24,2388.18,8126.07,8.4106,0.03,392,2388,100.0,38.8,23.279
18,88,-0.0004,0.0,100.0,518.67,641.84,1589.77,1401.22,14.62,21.61,554.32,2388.04,9066.53,1.3,47.15,522.07,2388.05,8149.67,8.4509,0.03,393,2388,100.0,39.04,23.3098
94,220,0.0012,0.0004,100.0,518.67,642.8,1591.17,1421.27,14.62,21.61,552.52,2388.16,9095.01,1.3,47.93,520.26,2388.22,8170.13,8.519,0.03,395,2388,100.0,38.66,23.1685
88,169,-0.0,0.0001,100.0,518.67,642.8,1594.09,1415.45,14.62,21.61,553.3,2388.06,9098.61,1.3,47.71,521.44,2388.07,8166.34,8.457,0.03,393,2388,100.0,38.85,23.1559
66,78,-0.0004,-0.0,100.0,518.67,642.6,1591.0,1414.81,14.62,21.61,553.62,2388.12,9056.67,1.3,47.49,521.19,2388.1,8135.0,8.4339,0.03,394,2388,100.0,38.95,23.2255
90,28,-0.0023,0.0006,100.0,518.67,642.91,1593.32,1395.81,14.62,21.61,555.02,2388.04,9057.35,1.3,47.23,522.45,2388.05,8146.55,8.4442,0.03,392,2388,100.0,39.17,23.4003
32,59,0.0007,0.0002,100.0,518.67,643.0,1597.01,1412.37,14.62,21.61,552.59,2388.13,9054.4,1.3,47.64,521.56,2388.14,8133.15,8.4677,0.03,393,2388,100.0,38.99,23.3316
65,135,0.0019,0.0005,100.0,518.67,643.56,1591.97,1418.04,14.62,21.61,551.92,2388.16,9049.49,1.3,47.98,520.83,2388.21,8126.1,8.4868,0.03,395,2388,100.0,38.6,23.223
52,121,-0.0,0.0003,100.0,518.67,643.11,1594.33,1417.67,14.62,21.61,553.44,2388.12,9056.15,1.3,47.64,521.07,2388.12,8130.16,8.4469,0.03,394,2388,100.0,38.72,23.2883
54,223,-0.0007,-0.0001,100.0,518.67,642.91,1596.45,1411.03,14.62,21.61,553.37,2388.1,9111.82,1.3,47.78,521.24,2388.13,8182.99,8.4706,0.03,396,2388,100.0,38.79,23.2558
11,184,0.0022,-0.0001,100.0,518.67,642.91,1595.5,1419.01,14.62,21.61,552.96,2388.06,9089.0,1.3,47.79,521.75,2388.08,8163.45,8.4274,0.03,392,2388,100.0,38.83,23.3222
